release	version	date	kb
1703	10.0.15063.296	5/9/2017	4016871
1703	10.0.15063.250	4/25/2017	4016240
1703	10.0.15063.138	4/11/2017	4015583
1607	10.0.14393.2879	3/19/2019	4489889
1607	10.0.14393.2848	3/12/2019	4489882
1607	10.0.14393.2828	2/19/2019	4487006
1607	10.0.14393.2791	2/12/2019	4487026
1607	10.0.14393.2759	1/17/2019	4480977
1607	10.0.14393.2724	1/8/2019	4480961
1607	10.0.14393.2670	12/19/2018	4483229
1607	10.0.14393.2665	12/11/2018	4471321
1607	10.0.14393.2641	12/3/2018	4478877
1607	10.0.14393.2639	11/27/2018	4467684
1607	10.0.14393.2608	11/13/2018	4467691
1607	10.0.14393.2580	10/18/2018	4462928
1607	10.0.14393.2551	10/9/2018	4462917
1607	10.0.14393.2515	9/20/2018	4457127
1607	10.0.14393.2485	9/11/2018	4457131
1607	10.0.14393.2457	8/30/2018	4343884
1607	10.0.14393.2430	8/14/2018	4343887
1607	10.0.14393.2396	7/30/2018	4346877
1607	10.0.14393.2395	7/24/2018	4338822
1607	10.0.14393.2368	7/16/2018	4345418
1607	10.0.14393.2363	7/10/2018	4338814
1607	10.0.14393.2339	6/21/2018	4284833
1607	10.0.14393.2312	6/12/2018	4284880
1607	10.0.14393.2273	5/17/2018	4103720
1607	10.0.14393.2248	5/8/2018	4103723
1607	10.0.14393.2214	4/17/2018	4093120
1607	10.0.14393.2189	4/10/2018	4093119
1607	10.0.14393.2156	3/29/2018	4096309
1607	10.0.14393.2155	3/22/2018	4088889
1607	10.0.14393.2125	3/13/2018	4088787
1607	10.0.14393.2097	2/22/2018	4077525
1607	10.0.14393.2068	2/13/2018	4074590
1607	10.0.14393.2035	1/17/2018	4057142
1607	10.0.14393.2007	1/3/2018	4056890
1607	10.0.14393.1944	12/12/2017	4053579
1607	10.0.14393.1914	11/27/2017	4051033
1607	10.0.14393.1884	11/14/2017	4048953
1607	10.0.14393.1797	11/2/2017	4052231
1607	10.0.14393.1794	10/17/2017	4041688
1607	10.0.14393.1770	10/10/2017	4041691
1607	10.0.14393.1737	9/25/2017	4038801
1607	10.0.14393.1715	9/12/2017	4038782
1607	10.0.14393.1670	8/28/2017	4039396
1607	10.0.14393.1613	8/16/2017	4034661
1607	10.0.14393.1593	8/8/2017	4034658
1607	10.0.14393.1537	8/7/2017	4038220
